AC Name,AC No.,Type,District,Winning Candidate,Party,Total Electors,Total Votes,Poll%,Margin,Margin %
Abhayapuri North,34,GEN,Bongaigaon,Abdul Hai Nagori,Indian National Congress,150801,135884,90.10%,2143,1.60%
Abhayapuri South (SC),35,SC,Bongaigaon,Ananta Kumar Malo,All India United Democratic Front,174303,157416,90.30%,191,0.10%
Algapur,8,GEN,Hailakandi,Nizam Uddin Choudhury,All India United Democratic Front,143537,118625,82.60%,17754,15.00%
Amguri,103,GEN,Sibsagar,Prodip Hazarika,Asom Gana Parisad,111717,94615,84.70%,1620,1.70%
Badarpur,5,GEN,Karimganj,Jamal Uddin Ahmed,Indian National Congress,139003,111923,80.50%,2088,1.90%
Baghbar,45,GEN,Barpeta,Sherman Ali Ahmed,Indian National Congress,144950,126400,87.20%,43433,34.40%
Baithalangso,20,ST,Karbi Anglong,Dr.Mansing Rongpi,Indian National Congress,180203,143129,79.40%,9519,6.70%
Barama,62,ST,Nalbari,Maneswar Brahma,Bodaland Peoples Front,145311,117509,80.90%,9796,8.30%
Barchalla,72,GEN,Sonitpur,Ganesh Kumar Limbu,Bharatiya Janta Party,143583,118026,82.20%,23682,20.10%
Barhampur,87,GEN,Nagaon,Sri Prafulla Kumar Mahanta,Asom Gana Parisad,161592,134611,83.30%,5169,3.80%
Barkhetry,60,GEN,Nalbari,Narayan Deka,Bharatiya Janta Party,165065,146021,88.50%,8613,5.90%
Barkhola,14,GEN,Cachar,Kishor Nath,Bharatiya Janta Party,129524,102913,79.50%,42,0.00%
Barpeta,43,GEN,Barpeta,Gunindra Nath Das,Asom Gana Parisad,181058,162215,89.60%,5810,3.60%
Batadroba,84,GEN,Nagaon,Angoorlata Deka,Bharatiya Janta Party,139793,122434,87.60%,5885,4.80%
Behali,77,GEN,Sonitpur,Ranjit Dutta,Bharatiya Janta Party,107643,90301,83.90%,23601,26.10%
Bhabanipur,41,GEN,Barpeta,Abul Kalam Azad,All India United Democratic Front,127341,109574,86.00%,2439,2.20%
Bihpuria,109,GEN,Lakhimpur,Debananda Hazarika,Bharatiya Janta Party,131267,108860,82.90%,26187,24.10%
Bijni,33,GEN,Bongaigaon,Kamalshing Narzary,Bodaland Peoples Front,134032,118056,88.10%,1678,1.40%
Bilasipara East,27,GEN,Dhubri,Ashok Kumar Singhi,Bharatiya Janta Party,184994,166665,90.10%,5096,3.10%
Bilasipara West,26,GEN,Dhubri,Hafiz Bashir Ahmed,All India United Democratic Front,147151,136747,92.90%,11202,8.20%
Biswanath,76,GEN,Sonitpur,Promod Borthakur,Bharatiya Janta Party,141134,120386,85.30%,10120,8.40%
Bokajan,17,ST,Karbi Anglong,Numal Momin,Bharatiya Janta Party,129677,105012,81.00%,4744,4.50%
Bokakhat,93,GEN,Golaghat,Atul Bora,Asom Gana Parisad,123027,103273,83.90%,40193,38.90%
Boko Sc,48,SC,Kamrup,Nandita Das,Indian National Congress,197963,174634,88.20%,17594,10.10%
Bongaigaon,32,GEN,Bongaigaon,Phani Bhusan Choudhury,Asom Gana Parisad,159137,135571,85.20%,31320,23.10%
Chabua,121,GEN,Dibrugarh,Binod Hazarika,Bharatiya Janta Party,135705,113031,83.30%,30754,27.20%
Chapaguri,63,ST,Nalbari,Thaneswar Basumatary,Bodaland Peoples Front,137267,112361,81.90%,1481,1.30%
Chaygaon,49,GEN,Kamrup,Rekibuddin Ahmed,Indian National Congress,160183,143810,89.80%,7821,5.40%
Chenga,47,GEN,Barpeta,Sukur Ali Ahmed,Indian National Congress,122519,109138,89.10%,23357,21.40%
Dalgaon,68,GEN,Darrang,Ilias Ali,Indian National Congress,196994,179157,90.90%,2320,1.30%
Dergaon,97,SC,Jorhat,Bhabendra Nath Bharali,Asom Gana Parisad,146486,118561,80.90%,16272,13.70%
Dhakuakhana,112,ST,Lakhimpur,Naba Kumar Doley,Bharatiya Janta Party,174228,145961,83.80%,24542,16.80%
Dharmapur,61,GEN,Nalbari,Chandra Mohan Patowary,Bharatiya Janta Party,129940,109956,84.60%,33943,30.90%
